Country;GDP per capita (USD);Life satisfaction
Afghanistan;19.045.599;425.835
Albania;13.317.093;47.186
Algeria;11.826.151;5.872
Angola;8.239.831;4.033
Argentina;23.189.527;6.599
Armenia;11.303.067;4.376
Australia;48116.03;7.284
Azerbaijan;14.232.192;5.234
Bahrain;47937.71;6.087
Bangladesh;39.201.445;4.608
Belarus;17.883.127;5.569
Belgium;49.829.926;6.891
Belize;72.069.526;5.956
Benin;29.614.404;3.657
Bhutan;10775.19;5.011
Bolivia;8.202.544;5.823
Bosnia and Herzegovina;13.194.331;5.182
Botswana;15.654.682;3.766
Brazil;14.451.153;6.635
Bulgaria;20.740.795;4.714
Burkina Faso;19.814.298;4.032
Burundi;79.460.425;2.905
Cambodia;37.280.996;4.168
Cameroon;3.634.381;4.695
Canada;47.457.586;7.316
Central African Republic;8.844.952;7.316
Chad;16.870.536;3.936
Chile;24.531.357;6.652
China;13.399.138;5.273
Colombia;14.194.516;6.357
Congo;45.440.757;4.291
Ecuador;11.551.616;6.008
Egypt;10.795.809;4.735
El Salvador;8309.9;6.003
Estonia;32.008.934;5.611
Ethiopia;18.948.973;4.46
Finland;46206.79;7.469
France;43705.15;6.442
Gabon;15359.74;4.465
Georgia;12.963.744;4.286
